                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.80181,                0.88367,                0.95985,                0.88259,                      1,                0.98092,                 0.7873,                0.84985,                 1.1304,                0.96994,              0.0013268,              0.0013268,              0.0013268
                     37,                0.70965,                  0.815,                0.90847,                0.88259,                      1,                0.98092,                 0.7873,                0.84985,                 1.1304,                0.96994,               0.001307,               0.001307,               0.001307
                     38,                0.72216,                0.83271,                0.95501,                0.95114,                0.97333,                0.98743,                0.80671,                0.73277,                 1.2013,                0.95355,              0.0012872,              0.0012872,              0.0012872
                     39,                0.81276,                0.85871,                0.94884,                0.98436,                  0.975,                 0.9936,                0.83974,                0.63881,                 1.0761,                0.92886,              0.0012674,              0.0012674,              0.0012674
                     40,                0.74949,                0.85548,                0.96797,                      1,                0.99794,                  0.995,                0.83062,                0.63357,                 1.0704,                0.93733,              0.0012476,              0.0012476,              0.0012476
                     41,                0.73573,                 0.8539,                 0.9453,                      1,                0.99794,                  0.995,                0.83062,                0.63357,                 1.0704,                0.93733,              0.0012278,              0.0012278,              0.0012278
                     42,                0.71159,                0.81184,                0.94664,                0.99269,                  0.975,                0.99451,                  0.865,                0.64441,                 1.0753,                0.95338,               0.001208,               0.001208,               0.001208
                     43,                0.76051,                0.84844,                0.99189,                0.99657,                      1,                  0.995,                0.82647,                0.74744,                 1.0568,                0.99819,              0.0011882,              0.0011882,              0.0011882
                     44,                0.71688,                0.84509,                0.96152,                0.97324,                      1,                0.99207,                0.83932,                0.81394,                 1.0531,                 1.0286,              0.0011684,              0.0011684,              0.0011684
                     45,                0.71312,                0.81059,                0.95856,                0.97324,                      1,                0.99207,                0.83932,                0.81394,                 1.0531,                 1.0286,              0.0011486,              0.0011486,              0.0011486
                     46,                0.78266,                0.87597,                0.97062,                0.99735,                      1,                  0.995,                0.81157,                 0.9006,                  1.109,                 1.0753,              0.0011288,              0.0011288,              0.0011288
                     47,                0.77561,                0.87009,                0.92848,                0.97559,                  0.999,                0.99378,                0.80611,                0.99974,                 1.2179,                 1.1174,               0.001109,               0.001109,               0.001109
                     48,                 0.7267,                0.84691,                0.97159,                0.99577,                      1,                  0.995,                0.79888,                 0.8735,                 1.1209,                 1.1012,              0.0010892,              0.0010892,              0.0010892
                     49,                0.71315,                0.80669,                0.97265,                0.99577,                      1,                  0.995,                0.79888,                 0.8735,                 1.1209,                 1.1012,              0.0010694,              0.0010694,              0.0010694
                     50,                0.63958,                0.76631,                0.90753,                0.96828,                      1,                0.99378,                0.80925,                0.78123,                  1.014,                 1.0735,              0.0010496,              0.0010496,              0.0010496
                     51,                0.68828,                 0.7856,                0.97045,                 0.9045,                      1,                0.97087,                0.75914,                0.87698,                0.98354,                 1.0407,              0.0010298,              0.0010298,              0.0010298
                     52,                0.62496,                 0.7847,                0.91824,                0.99314,                      1,                  0.995,                0.84232,                 0.8319,                0.88719,                   1.01,                0.00101,                0.00101,                0.00101
                     53,                  0.634,                 0.7211,                0.93245,                0.99314,                      1,                  0.995,                0.84232,                 0.8319,                0.88719,                   1.01,              0.0009902,              0.0009902,              0.0009902
                     54,                0.71613,                0.76765,                0.96131,                0.99975,                      1,                  0.995,                0.83929,                0.80064,                0.87683,                0.95178,              0.0009704,              0.0009704,              0.0009704
                     55,                0.67949,                0.82128,                0.99472,                0.98796,                      1,                  0.995,                0.87332,                 0.6463,                 0.8087,                0.91666,              0.0009506,              0.0009506,              0.0009506
                     56,                0.70488,                0.70373,                0.94265,                0.99368,                      1,                  0.995,                0.84447,                0.64458,                0.80588,                0.92791,              0.0009308,              0.0009308,              0.0009308
